Company,Category,Subcategory,Region,Sales_Channel,Year,Revenue_USD_Million,Market_Share_%,Growth_%,Urban_Rural
Nestle India,Home Care,Ayurvedic Products,East,Online,2023,1341.37,9.56,13.92,Rural
Godrej Consumer,Food & Beverages,Bakery,East,Online,2022,1000.27,10.6,10.59,Urban
Nestle India,Personal Care,Insecticides,East,Offline,2022,2751.42,8.79,3.75,Urban
Britannia,Home Care,Ayurvedic Products,North,Offline,2024,1156.78,10.68,6.07,Urban
Marico,Health Care,Biscuits,South,Offline,2023,1097.94,18.36,12.28,Rural
Patanjali,Personal Care,Soap,North,Online,2023,4413.94,16.75,5.76,Urban
Hindustan Unilever,Personal Care,Hair Oil,South,Offline,2020,4994.54,12.05,4.8,Urban
Nestle India,Personal Care,Oral Care,East,Offline,2025,3015.5,3.13,9.55,Urban
Patanjali,Food & Beverages,Bakery,South,Online,2022,3457.17,4.62,14.97,Urban
Nestle India,Food & Beverages,Hair Oil,North,Online,2021,2845.08,16.68,3.66,Urban
Hindustan Unilever,Personal Care,Noodles,South,Online,2022,2425.18,17.18,6.26,Urban
Hindustan Unilever,Personal Care,Oral Care,South,Offline,2022,4622.49,17.86,6.86,Rural
Nestle India,Home Care,Shampoo,South,Offline,2020,4795.98,4.49,10.43,Rural
Godrej Consumer,Food & Beverages,Noodles,East,Online,2020,2438.32,5.33,11.93,Rural
Britannia,Personal Care,Soap,East,Online,2023,4544.59,19.07,5.92,Urban
Colgate-Palmolive,Food & Beverages,Shampoo,North,Offline,2025,4901.64,15.02,8.48,Urban
Britannia,Home Care,Bakery,East,Offline,2025,5683.81,7.78,10.64,Rural
ITC,Home Care,Ayurvedic Products,West,Offline,2021,897.71,16.07,11.02,Urban
ITC,Personal Care,Oral Care,South,Offline,2025,5663.32,18.46,8.18,Urban
Patanjali,Home Care,Ayurvedic Products,East,Online,2020,4342.79,7.44,4.75,Rural
Nestle India,Health Care,Hair Oil,South,Offline,2022,2883.83,8.43,8.63,Urban
Godrej Consumer,Home Care,Bakery,South,Offline,2023,779.92,12.9,5.31,Rural
Godrej Consumer,Health Care,Biscuits,East,Online,2022,3961.37,13.16,12.91,Rural
Britannia,Home Care,Oral Care,North,Online,2023,3101.7,8.77,5.94,Urban
Hindustan Unilever,Health Care,Noodles,East,Offline,2025,3490.15,5.43,12.37,Urban
Marico,Health Care,Shampoo,North,Offline,2025,3418.28,8.46,11.94,Urban
Dabur,Food & Beverages,Insecticides,East,Offline,2025,3928.14,18.01,5.72,Rural
Hindustan Unilever,Health Care,Biscuits,North,Online,2025,2182.16,8.24,6.69,Rural
Britannia,Home Care,Insecticides,West,Offline,2022,977.74,10.52,5.97,Rural
Dabur,Personal Care,Biscuits,East,Online,2020,3189.18,14.39,10.22,Rural
Britannia,Health Care,Shampoo,North,Offline,2020,2857.04,10.93,8.31,Urban
Hindustan Unilever,Health Care,Beverages,West,Offline,2024,1454.91,12.27,12.87,Rural
Hindustan Unilever,Food & Beverages,Beverages,East,Online,2025,2827.28,6.74,9.4,Rural
Patanjali,Personal Care,Beverages,East,Offline,2020,4657.23,4.47,3.15,Urban
Nestle India,Home Care,Shampoo,North,Offline,2021,1767.54,11.44,9.61,Urban
Hindustan Unilever,Home Care,Insecticides,South,Online,2025,1327.02,2.59,4.71,Rural
Nestle India,Food & Beverages,Shampoo,West,Offline,2020,5205.9,2.1,5.8,Rural
Marico,Home Care,Insecticides,West,Offline,2022,5825.05,12.22,6.29,Urban
Britannia,Food & Beverages,Noodles,West,Online,2020,742.14,5.19,10.19,Rural
Godrej Consumer,Food & Beverages,Noodles,East,Online,2024,1225.21,15.04,11.72,Urban
ITC,Food & Beverages,Insecticides,West,Offline,2022,3934.36,18.1,4.79,Rural
Hindustan Unilever,Food & Beverages,Oral Care,North,Offline,2025,4821.94,3.8,13.44,Urban
Britannia,Personal Care,Soap,North,Online,2024,3950.58,19.32,11.23,Rural
Colgate-Palmolive,Food & Beverages,Hair Oil,South,Online,2024,4775.02,9.82,3.45,Rural
Britannia,Health Care,Beverages,South,Offline,2022,2603.36,12.85,8.77,Rural
Nestle India,Home Care,Beverages,East,Offline,2025,1843.4,11.87,5.75,Urban
Nestle India,Home Care,Bakery,North,Online,2023,4393.91,1.95,6.21,Rural
Dabur,Home Care,Ayurvedic Products,North,Offline,2024,3452.89,15.75,13.43,Rural
Nestle India,Home Care,Soap,East,Online,2024,800.82,11.3,9.73,Urban
Britannia,Health Care,Ayurvedic Products,East,Online,2024,4258.25,9.91,3.83,Rural
Colgate-Palmolive,Personal Care,Noodles,North,Online,2022,5224.75,12.32,10.79,Urban
Reliance Consumer,Food & Beverages,Beverages,East,Online,2020,3203.65,19.76,4.31,Urban
ITC,Personal Care,Insecticides,East,Online,2025,1111.52,14.54,4.26,Rural
Hindustan Unilever,Home Care,Biscuits,West,Offline,2022,5119.89,15.04,7.93,Rural
Hindustan Unilever,Home Care,Bakery,North,Offline,2022,2541.01,14.41,5.37,Urban
Hindustan Unilever,Home Care,Biscuits,East,Offline,2021,1448.4,16.62,10.98,Rural
Marico,Food & Beverages,Ayurvedic Products,South,Offline,2023,1446.98,16.93,4.67,Rural
Hindustan Unilever,Personal Care,Biscuits,South,Offline,2020,1427.58,4.64,7.92,Urban
Hindustan Unilever,Personal Care,Noodles,West,Offline,2022,2688.62,16.25,4.37,Urban
